tract,region,n_lsRestaurants,n_subway,n_mcdonalds,state_fips,county_fips,unique_tract,total_population_estimate,median_age_total,median_age_male,median_age_female,unknown_race,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_races_including_some_other_race,two_races_excluding_some_other_race_and_three_or_more_races,commute_unkown,commute_less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,annual_income_unknown,annual_income_less_than_$10_000,annual_income_$10_000_to_$14_999,annual_income_$15_000_to_$19_999,annual_income_$20_000_to_$24_999,annual_income_$25_000_to_$29_999,annual_income_$30_000_to_$34_999,annual_income_$35_000_to_$39_999,annual_income_$40_000_to_$44_999,annual_income_$45_000_to_$49_999,annual_income_$50_000_to_$59_999,annual_income_$60_000_to_$74_999,annual_income_$75_000_to_$99_999,annual_income_$100_000_to_$124_999,annual_income_$125_000_to_$149_999,annual_income_$150_000_to_$199_999,annual_income_$200_000_or_more,tract,region,count_new_bus_past_year,total_businesses,average_visitors,new_business_proportion,n_lsRestaurants,n_subway,n_mcdonalds,tract,count_bigger_places_by_tract,region,n_lsRestaurants,n_subway,n_mcdonalds,count_bigger_places_by_tract_2
08001008543,CO,3,0,0,08,001,08001008543,9090,33.84,34.72,37.04,9090,8065,127,37,204,25,430,202,0,202,3986,45,364,336,546,191,247,766,230,397,563,250,51,2035,24,0,23,9,17,24,54,73,83,218,257,208,389,241,259,156,08001008543,CO,3,9173,20.789926959555217,0.00032704676768777934,3,0,0,08001008543,0,CO,3,0,0,0
08001008544,CO,1,0,0,08,001,08001008544,5729,34.9,35.2,34.7,5729,4702,70,28,521,0,34,374,214,160,2715,46,73,352,198,439,218,352,146,178,325,343,45,1485,9,0,0,18,60,0,37,11,0,78,63,165,258,214,292,280,08001008544,CO,3,3709,39.060932866001615,0.0008088433540037746,1,0,0,08001008544,0,CO,1,0,0,0
08001008547,CO,1,0,0,08,001,08001008547,3663,34.05,35.35,33.35,3663,3291,0,24,95,13,95,145,45,100,1678,40,121,99,159,252,96,240,61,142,297,158,13,792,11,0,4,0,15,15,21,11,13,71,173,224,112,73,44,5,08001008547,CO,2,3073,42.73511226814188,0.0006508298080052066,1,0,0,08001008547,0,CO,1,0,0,0
08001008549,CO,1,0,0,08,001,08001008549,4022,31.3,32.15,32.95,4022,3394,27,56,234,0,128,183,67,116,1908,0,24,74,196,209,176,439,174,110,345,76,85,957,28,33,0,7,26,75,0,12,18,51,150,142,186,130,60,39,null,null,null,null,null,null,null,null,null,08001008549,0,CO,1,0,0,0
08001008550,CO,2,0,0,08,001,08001008550,8220,36.975,35.925,39.075,8220,7363,110,0,468,0,57,222,0,222,4249,0,110,285,453,626,270,783,129,250,845,421,77,1974,0,0,10,33,0,77,43,89,17,90,170,442,429,233,257,84,null,null,null,null,null,null,null,null,null,08001008550,0,CO,2,0,0,0
08001008603,CO,2,0,0,08,001,08001008603,1937,31.2,32.8,30.2,1937,1793,0,0,0,8,78,58,12,46,829,11,131,56,147,16,65,125,31,43,165,39,0,434,73,17,51,22,23,4,23,34,33,16,62,36,8,6,20,6,08001008603,CO,4,10152,19.45390070921986,0.0003940110323089047,2,0,0,08001008603,0,CO,2,0,0,0
08001008604,CO,3,1,0,08,001,08001008604,5254,33.1,32.8,34.3,5254,4521,305,110,13,0,211,94,50,44,1979,0,316,226,190,157,25,423,108,65,251,110,108,823,0,9,14,20,8,7,27,44,104,75,128,134,109,68,39,37,08001008604,CO,3,6583,38.538963998177124,0.00045571927692541396,3,1,0,08001008604,1,CO,3,1,0,1
08001008605,CO,1,0,0,08,001,08001008605,4278,39.6,37.55,39.95,4278,4107,26,47,56,0,0,42,0,42,2136,56,258,146,220,195,56,524,125,109,209,138,100,994,55,21,0,47,49,0,0,35,27,55,86,152,138,116,108,105,08001008605,CO,5,7830,29.377394636015325,0.0006385696040868455,1,0,0,08001008605,0,CO,1,0,0,0
08001008606,CO,8,0,1,08,001,08001008606,6120,37.666668,36.266666,39,6120,4492,41,125,621,0,739,102,51,51,2578,19,249,298,308,205,88,580,140,218,355,92,26,1490,49,10,0,56,23,69,27,70,97,239,235,264,160,39,83,69,08001008606,CO,10,18963,29.865263935031376,0.0005273427200337499,8,0,1,08001008606,0,CO,8,0,1,0
08001008705,CO,1,0,0,08,001,08001008705,5511,32.125,30.55,34.275,5511,4764,159,47,31,0,360,150,37,113,2473,0,212,463,466,285,179,488,67,60,103,123,27,1156,37,93,21,38,79,8,36,117,35,146,159,124,106,81,66,10,08001008705,CO,1,7945,18.760730018879798,0.00012586532410320956,1,0,0,08001008705,0,CO,1,0,0,0
